City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Samarai,PG,77.58,broken clouds,-10.6167,150.6667,Nuli Sapi
660,Panlaitan,PH,83.35,overcast clouds,12.1191,119.8486,SOUTH BEACH
661,Celestun,MX,80.31,few clouds,20.8667,-90.4,Posada Lilia
663,Pucallpa,PE,80.64,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
667,Kirakira,SB,83.25,few clouds,-10.4544,161.9205,SanBiz Lodge
668,Hami,CN,80.02,clear sky,42.8,93.45,Laoyutang Resort
673,Carutapera,BR,75.99,clear sky,-1.195,-46.02,Lidera
677,Bayan,CN,79.97,broken clouds,46.0833,127.4,Wanhao Inn
678,Tutoia,BR,77.14,broken clouds,-2.7619,-42.2744,Pousada Guará's
679,Hobbs,US,75.81,few clouds,32.7026,-103.136,Best Western Executive Inn
680,Teacapan,MX,79.72,overcast clouds,22.55,-105.75,Hotel los Mangos
682,Oriximina,BR,75.97,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
685,Raipur,IN,86.14,scattered clouds,21.2333,81.6333,Le Roi Raipur Hotel
686,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
688,Nhamunda,BR,76.8,broken clouds,-2.1861,-56.7131,Pousada Da Praia
691,Ardakan,IR,86.38,clear sky,32.31,54.0175,Ardakan Hotel
692,Iglesias,IT,83.93,broken clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
695,Bani Walid,LY,81.46,clear sky,31.7566,13.9942,نيك بلاش
699,Alihe,CN,77.05,scattered clouds,50.5667,123.7167,Alihe Forestry Hotel
704,Iracoubo,GF,75.67,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
706,Arzgir,RU,87.19,scattered clouds,45.3728,44.2206,
707,Luba,GQ,75.09,overcast clouds,3.4568,8.5547,
708,Tecoanapa,MX,78.46,overcast clouds,16.5167,-98.75,Hotel Manglares
710,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
714,Cervenia,RO,75.88,clear sky,43.8333,25.4667,george peleanu
716,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
717,Butaritari,KI,81.73,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
719,Terrace,CA,75.11,few clouds,54.5163,-128.6035,Northern Motor Inn
725,Cockburn Town,TC,82.58,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
726,Guangyuan,CN,88.66,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
733,Nakhon Thai,TH,85.35,broken clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
735,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,Scoop Guest House
736,Kavaratti,IN,81.54,scattered clouds,10.5669,72.642,Green leaf
738,Makakilo City,US,84.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
739,Phalodi,IN,84.33,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
742,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
743,Banda Aceh,ID,86.27,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
753,Boyolangu,ID,79.09,overcast clouds,-8.1181,111.8935,Yos ega cv
759,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
760,Meulaboh,ID,85.59,overcast clouds,4.1363,96.1285,Kost Pria
762,Guanica,PR,79.92,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
765,Muli,MV,81.91,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
768,Sao Filipe,CV,77.83,broken clouds,14.8961,-24.4956,Hotel Xaguate
769,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
770,Tahta,EG,81.21,clear sky,26.7693,31.5021,فندق الزيات
775,Victoria,HK,89.96,overcast clouds,22.2855,114.1577,Mini Central
779,Bengkulu,ID,85.91,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
784,Agadez,NE,83.55,clear sky,19.75,10.25,
787,Safaga,EG,88.3,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
